mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,1.2918418e-05,3.5998428e-06,3.5998428e-06,1.2918418e-05,3.3038978e-06,3.3038978e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6335378e-05,9.514452e-06,9.514452e-06,1.6335378e-05,8.440684e-06,8.440684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,9.205348e-05,0.00012420767,0.00012394344,9.3397415e-05,7.067375e-05,7.063857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4904704e-05,0.00014933119,0.00014946041,4.6799076e-05,6.2274084e-05,6.2301886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00025308185,0.0009499659,0.0009878168,0.00027832392,0.00017676735,0.00018205045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888667e-05,0.000752334,0.000806749,6.3612024e-05,7.648847e-05,5.5623066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00037891843,0.0036255668,0.0044718077,0.00051801285,0.0004970975,0.00041563893,1.1371885e-06,3.0562663e-07,3.0562663e-07,1.1371885e-06,3.0562666e-07,3.0562666e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018859253,0.0021057713,0.0026583194,0.00024220701,0.00048611453,0.00031106197,2.8960146e-06,1.3321956e-06,1.3321956e-06,2.8960146e-06,1.3321958e-06,1.3321958e-06,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00092531147,0.00893412,0.0134487795,0.0017213051,0.0022506746,0.0018829191,2.561427e-05,5.080041e-05,7.012958e-05,4.538714e-05,3.1001116e-05,2.3600845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004483883,0.004176728,0.0062645907,0.0010998908,0.0018232227,0.00073619117,4.2677966e-05,9.9943834e-05,0.00015140744,7.054011e-05,5.2985157e-05,3.9795374e-05,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0008637767,0.018159525,0.031358052,0.004366149,0.008359088,0.005071032,0.00036751444,0.0010274336,0.0015541103,0.00023736083,0.0003112897,0.0002699269,6.0302036e-06,1.673269e-05,1.673269e-05,6.0302036e-06,9.122502e-06,9.122502e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00039148703,0.0066106305,0.011078911,0.0016986271,0.004742676,0.0024320465,0.00044821156,0.0013295119,0.0021636938,0.00020573453,0.00040687193,0.00032024083,9.923261e-06,5.7169804e-05,5.7169804e-05,9.923261e-06,2.5424151e-05,2.5424151e-05,5,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.002760519,0.03383488,0.061355755,0.0068284823,0.022687545,0.01341055,0.003229838,0.00840837,0.016338734,0.0033571292,0.0025994298,0.0028868953,0.0010771606,0.0015329593,0.0037227878,0.001213565,0.000918378,0.00091956055,0.0,0.0,0.0,0.0,0.0,0.0,0.00138617,0.0090358285,0.01620695,0.003362948,0.010748676,0.005171367,0.0024178603,0.007127551,0.015233253,0.0037103647,0.0022418897,0.0021285934,0.0019204471,0.0022257937,0.0070037404,0.0023444325,0.0016898942,0.001731771,6,0,0
20.120872,3.3449717,-0.85490745,3.452492,1.3543385,1.7792708,0.0150093315,0.0550024,0.09287091,0.037491556,0.04662177,0.026740352,0.014481509,0.043580294,0.08493182,0.021847224,0.021156656,0.015224463,0.019206528,0.036067158,0.07566035,0.020660564,0.02429243,0.015923021,37.397476,6.2171006,1.5889657,6.416941,2.5172284,1.8343413,0.008480268,0.0072644507,0.013594955,0.01691416,0.019809198,0.012384254,0.005032371,0.014038035,0.02935016,0.018462928,0.021648852,0.006961176,0.012052398,0.022319827,0.04074538,0.019815529,0.024951808,0.013312159,7,2,0
84.203636,19.747826,-11.72535,23.355978,5.8093977,0.36675322,0.025288247,0.034030482,0.0460961,0.04378213,0.03548841,0.025917457,0.014960658,0.02122621,0.039454892,0.015086021,0.024724007,0.011808822,0.017330974,0.009869625,0.018585036,0.012858171,0.0166157,0.0115568815,4.8529,4.335733,7.0812936,7.13457,0.19996224,0.30009237,0.003662737,0.007031802,0.009656903,0.006158737,0.00878192,0.006811357,0.006229146,0.009833316,0.017200332,0.013539465,0.014434709,0.008560717,0.012422668,0.011148065,0.019761836,0.011198382,0.015835505,0.010786388,8,2,0
81.4908,22.171574,-15.683914,27.344322,5.697615,0.27893692,0.021272043,0.019851776,0.028447028,0.039319333,0.028862553,0.016918737,0.0059876223,0.008741651,0.010310934,0.005424536,0.00701514,0.008311164,0.0051927143,0.003961627,0.0053171283,0.00872696,0.0048741945,0.006738836,3.6396751,3.2517993,5.3109703,5.350929,0.14997166,0.1498477,0.0015519401,0.0018592859,0.0039678733,0.0033108925,0.0034132919,0.0021641634,0.0012358419,0.0019817513,0.005701693,0.0020664756,0.004000061,0.0009938148,0.0020544443,0.0016060956,0.002754581,0.0022631465,0.002415857,0.0022794276,9,0,0
