mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,0.007884049,0.01647904,0.012102349,0.003631589,0.004988772,0.010002662,0.00012979483,0.0002571217,0.00018684863,9.511098e-05,6.708854e-05,8.077108e-05,6.720422e-07,0.0,0.0,5.5848363e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012576283,0.005121306,0.0048115416,0.00087632326,0.0018265847,0.0013640783,0.00015217767,0.0004132742,0.00027739073,0.00012489904,8.159269e-05,9.6093325e-05,2.2236559e-06,0.0,0.0,1.792162e-06,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.013292902,0.029164692,0.033089593,0.0076651922,0.01428416,0.013875712,0.0016047825,0.003911132,0.004906008,0.0020345834,0.0006185409,0.00061505917,0.0001076177,0.0003083822,0.00035501737,0.00012656582,9.212861e-05,8.727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015456919,0.007465149,0.009454841,0.0037621816,0.0072966153,0.00347637,0.0013950256,0.0036933823,0.0044516707,0.0017770691,0.0005483318,0.0005463386,0.00017383682,0.00064635056,0.0007440112,0.00018615747,0.00013134924,0.0001326272,1,0,0
13.991529,3.0903337,-0.04846917,3.1286914,0.8732265,1.0262201,0.014874462,0.050214835,0.07602059,0.030938126,0.021702284,0.01444337,0.010488025,0.034227874,0.057541985,0.022599082,0.006140445,0.0060451967,0.008295145,0.026201282,0.044904754,0.014814745,0.0064960215,0.0077178637,31.298645,6.9732122,1.0745935,7.0387664,2.1437092,1.5660962,0.003788852,0.016425252,0.0140184695,0.009486698,0.012964095,0.0034422702,0.009174025,0.026576584,0.030098679,0.011507211,0.0040766965,0.0039870483,0.008978012,0.030927781,0.038229197,0.012415354,0.006729424,0.006664306,2,1,0
14.306058,3.3735561,-0.25206393,3.3829598,1.0704494,1.3325591,0.0040179295,0.023176566,0.08853644,0.08310382,0.04751359,0.0073366356,0.008850563,0.012995875,0.07130852,0.05106195,0.008677362,0.0073597925,0.0146570485,0.013933044,0.059881557,0.036395222,0.013802923,0.018010117,31.343,7.3910904,0.55224437,7.411693,2.345237,1.7085006,0.0019095646,0.010619796,0.008668688,0.021440139,0.015284512,0.0045545627,0.0036324118,0.00587216,0.02639314,0.013452702,0.0054345015,0.002416008,0.009194511,0.008411294,0.03525232,0.020523846,0.010224928,0.0102194175,3,2,0
25.143982,5.9292803,-0.44302148,5.9458084,1.8813958,2.319984,0.006139506,0.006839825,0.068392105,0.14732231,0.052461404,0.0061462023,0.026496157,0.010347735,0.06206707,0.086447775,0.026290162,0.017798267,0.017864762,0.021527689,0.05369493,0.07622155,0.036676534,0.018327305,38.13273,8.9922,0.6718753,9.017264,2.853278,1.7400061,0.0028629496,0.004245832,0.012473216,0.014260969,0.008653972,0.0034859246,0.0046790014,0.005749092,0.010529513,0.031944282,0.015071429,0.004527973,0.008718883,0.007421125,0.017465591,0.019380296,0.009363272,0.007176875,4,2,0
34.16623,8.056847,-0.60198796,8.079305,2.556485,0.8269668,0.017850759,0.015367878,0.039911874,0.10677374,0.034529716,0.01570254,0.023311058,0.021837896,0.05628575,0.14536475,0.05332725,0.021182425,0.024825554,0.021500012,0.06444217,0.14373067,0.06010871,0.020865535,40.836456,9.629772,0.7195133,9.656615,3.055584,1.2549733,0.0014055005,0.0022148318,0.002572991,0.030525,0.002378518,0.001883095,0.007977452,0.011736016,0.008849117,0.043329574,0.0117761735,0.010489591,0.01635207,0.018061696,0.016794147,0.054587074,0.013852856,0.017182589,5,2,0
82.97513,19.566624,-1.461971,19.621164,6.208605,0.011823866,0.011695099,0.01295289,0.028357858,0.03627031,0.022195451,0.016006147,0.011685961,0.012660179,0.015411145,0.01854216,0.016053006,0.0125510525,0.00833773,0.008766241,0.009275474,0.009789778,0.009052753,0.008583811,7.6293945e-06,1.9073486e-06,2.3841858e-07,1.9073486e-06,1.4305115e-06,0.03503469,0.0034845397,0.004143254,0.0051754448,0.011893958,0.005035006,0.002525452,0.008368539,0.009193865,0.013702145,0.017442228,0.012745655,0.009464648,0.009880384,0.008990084,0.01110062,0.012503959,0.010642708,0.01019779,6,2,0
84.4362,18.029688,0.2947627,18.34764,4.7547355,0.10509965,0.00224086,0.0025479745,0.015196278,0.008445042,0.012698454,0.004472226,0.0037249778,0.0034425922,0.0032411711,0.003922509,0.003193499,0.001955963,0.003962844,0.0026267369,0.0030135368,0.002883295,0.0040560896,0.0040631522,2.530643,2.6620502,3.0427516,2.2058158,2.5181775,0.11056902,0.0013142448,0.0012736812,0.0023487294,0.0042985543,0.002552903,0.0032026598,0.0014373518,0.0015048883,0.0013761757,0.0020441173,0.0016507541,0.001378479,0.0016179667,0.0012713796,0.0014885756,0.0017567214,0.0016681592,0.0014276152,7,0,0
85.16673,17.26122,1.1731294,17.710875,4.0278006,0.13559036,0.0026957225,0.0017118556,0.013168748,0.0029765568,0.012011524,0.0015249446,0.0046322104,0.0041234535,0.0032300996,0.0035255153,0.004344454,0.0048987977,0.0026113235,0.0045817965,0.0039841253,0.0021599736,0.0031448044,0.0036262204,2.8293447,2.9762628,3.4019003,2.4661772,2.8154082,0.104114644,0.00030717545,0.0009413878,0.0015928082,0.0013499877,0.0022640373,0.00044006977,0.002088939,0.0018704936,0.0016404713,0.0020976032,0.0014217597,0.0010893237,0.001461389,0.0016833596,0.0016312178,0.0011686833,0.0013463516,0.0016165568,8,0,0
82.97513,19.566624,-1.461971,19.621164,6.208605,0.0,0.007702631,0.007775134,0.021821007,0.020613177,0.023796402,0.005715789,0.0072680786,0.00886772,0.009388942,0.012845489,0.009538317,0.0075080143,0.0043793847,0.005090033,0.004849447,0.0042485916,0.0047785356,0.004652071,7.6293945e-06,1.9073486e-06,2.3841858e-07,1.9073486e-06,1.4305115e-06,0.0,0.0020749294,0.0017222342,0.005093137,0.009317447,0.0064321402,0.0026659602,0.006027448,0.0068845386,0.008464992,0.010947757,0.009276997,0.006037514,0.0040405905,0.004475026,0.004675794,0.0049524587,0.004524535,0.0038439664,9,0,0
