mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,0.0054955096,0.009986794,0.009071393,0.0053937645,0.004655274,0.0058487062,2.9387204e-05,3.8649356e-05,3.61348e-05,2.4203544e-05,1.8783623e-05,2.0070533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012893027,0.0030728434,0.0029795698,0.0013950592,0.0009936435,0.0007901807,4.2942833e-05,7.731587e-05,7.049965e-05,3.5257475e-05,2.8795004e-05,3.1709696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.008538765,0.018243624,0.021073956,0.014466577,0.006196877,0.0067060967,0.00035693275,0.0008246243,0.0012102326,0.0005596178,0.00023908177,0.00020545782,1.0634471e-05,9.946212e-06,1.119436e-05,1.5218816e-05,1.119436e-05,9.946212e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.001515114,0.0057225623,0.0068166517,0.003877688,0.00300775,0.0018835436,0.0004039067,0.0009825142,0.0015241374,0.00061144284,0.00017744472,0.00018969795,2.436499e-05,3.0851723e-05,3.5534507e-05,3.5579556e-05,3.5534507e-05,3.0851723e-05,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.010196896,0.024760127,0.037252113,0.029027432,0.008834165,0.009791816,0.0009149026,0.0030949148,0.008661739,0.00435135,0.00070974196,0.00097069045,0.00010393713,0.00024515926,0.00087802514,0.00042282272,0.00014305215,0.00018755463,0.0,0.0,0.0,0.0,0.0,0.0,0.00087561074,0.0063814847,0.010350396,0.005424706,0.0057615177,0.0023512093,0.0006992706,0.0025390296,0.0076439967,0.0034612615,0.00033930375,0.00064875983,0.00013018804,0.00033702413,0.0016823492,0.00060267386,0.00014773455,0.00023320902,2,0,0
6.770691,0.8777231,-0.46627247,0.99451107,0.44575134,0.5947411,0.009858297,0.027981896,0.0612241,0.046568718,0.0112351235,0.009141591,0.006127322,0.013780996,0.042680044,0.031372305,0.007832276,0.0062615657,0.004097082,0.008945298,0.032272715,0.017622802,0.0048331274,0.0061602066,23.454369,3.0412958,1.6187947,3.4451025,1.5441593,1.3018057,0.0010079312,0.010739026,0.01943957,0.012991316,0.0063123615,0.0018085669,0.0037063786,0.009420844,0.03277481,0.020083847,0.005811751,0.0038525986,0.0044122944,0.009719006,0.038380884,0.018205646,0.005843579,0.0061384346,3,2,0
2.827122,0.30823293,-0.13434388,0.33623773,0.18942448,0.7481226,0.00478059,0.011234068,0.06141413,0.049327992,0.013851582,0.0049510873,0.010797839,0.012337511,0.035922203,0.052589286,0.014940826,0.012627028,0.007195638,0.008587384,0.024604056,0.039782763,0.017168144,0.007847414,15.484783,1.6882613,0.7358317,1.8416498,1.0375206,1.4462595,0.0023384325,0.0075305896,0.015304455,0.020697502,0.0073142005,0.0025833277,0.004664997,0.0063782483,0.021836651,0.030005863,0.01025447,0.005722329,0.0070618126,0.008913015,0.024993153,0.036300175,0.014970653,0.0082559725,4,2,0
22.71577,3.3377166,-1.7501318,3.7962945,1.4885747,1.5457026,0.005727348,0.011347624,0.071062855,0.07508661,0.023170782,0.00567796,0.014045202,0.015740948,0.055521153,0.06316604,0.020005174,0.016457714,0.0095779495,0.015673624,0.04280215,0.05362852,0.024343356,0.012676183,38.687286,5.757375,3.1665175,6.5548205,2.5356388,1.812387,0.0038565958,0.0042639193,0.0103250705,0.014843289,0.014660127,0.0021978081,0.0038737042,0.005164203,0.01953268,0.02599686,0.007447154,0.0050854697,0.007597576,0.010557775,0.02680052,0.037932612,0.017650785,0.008557324,5,2,0
31.50105,4.380166,-4.3560104,6.187167,1.9156228,2.3013573,0.013849584,0.011386033,0.074550554,0.11970297,0.05507836,0.008563975,0.021698618,0.0155324405,0.07755407,0.0853077,0.0351914,0.016354986,0.027182382,0.022463277,0.073062584,0.07276889,0.037849184,0.024782369,43.045807,6.3253837,6.1329956,8.80362,2.617464,1.6928498,0.0016569162,0.00550165,0.009685778,0.01786035,0.011893268,0.004876995,0.009530954,0.008028541,0.012665797,0.038162705,0.020824073,0.0061562746,0.013328855,0.011369422,0.024979321,0.030679228,0.023732666,0.011266217,6,2,0
88.07182,16.691147,-16.052145,23.195362,5.519269,0.15817572,0.011476908,0.015918652,0.034501817,0.04533401,0.026844135,0.017034933,0.015374146,0.01792016,0.026147937,0.029446587,0.02396582,0.016854152,0.015353295,0.013312597,0.015860584,0.016060205,0.016210768,0.01181217,1.5038526,1.0464227,1.7883596,1.5918788,0.05642284,0.2793137,0.001886813,0.0027907488,0.007375555,0.01354578,0.0074109244,0.0012999909,0.0092020165,0.008882399,0.0158979,0.01998965,0.013585669,0.008283303,0.012118199,0.011845849,0.014632813,0.017966675,0.014535126,0.01140484,7,2,0
83.389114,13.476317,-19.6376,23.858202,5.3212175,0.18639003,0.005847952,0.00809534,0.017573375,0.013549737,0.012011365,0.013936309,0.0034376835,0.003896782,0.0039274916,0.0021127923,0.0031127315,0.0025512297,0.0024770382,0.0028316886,0.003968385,0.0027369438,0.0025646975,0.0028218857,2.6083906,1.6778059,3.9963691,4.10108,0.06045075,0.069650106,0.00080568105,0.0023853788,0.002579313,0.004965201,0.0039192787,0.0012941314,0.0008028633,0.0014721085,0.0014368369,0.0009321253,0.0017185992,0.0007998014,0.0009997314,0.0011856101,0.0017576601,0.0011376799,0.0009095303,0.001130401,8,0,0
73.46294,17.130838,-28.00301,32.955044,5.2653418,0.26442483,0.005875835,0.0109903235,0.018570868,0.0076805963,0.016244968,0.013669731,0.0031209239,0.0015786989,0.005671764,0.0035612131,0.004971281,0.0023119505,0.004525976,0.0029987288,0.0028767635,0.0030048762,0.0018000938,0.0043407106,3.3781924,2.2390423,3.6614227,3.165164,0.08831027,0.08024147,0.00061331206,0.0031581481,0.0027935153,0.0009002283,0.0044241743,0.002620369,0.0010738975,0.00084641605,0.0029358726,0.0012160087,0.0027386416,0.00068636663,0.0023761445,0.0015571733,0.0015132634,0.00082647585,0.0010058146,0.0014610613,9,0,0
