mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,0.00086916564,0.003561142,0.0027943882,0.00062811124,0.00080110546,0.0009566101,3.1666428e-07,0.0,0.0,3.161472e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027752758,0.001902614,0.0013908166,0.00028900243,0.00049010915,0.0005344111,9.085841e-07,0.0,0.0,9.0664105e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0026160548,0.010548955,0.009761444,0.0026824838,0.003012598,0.00258068,1.7492355e-05,4.4466404e-05,4.448246e-05,1.729141e-05,1.6071968e-05,1.595727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008466477,0.004295185,0.0039117574,0.000938195,0.0018252106,0.0014992168,1.610481e-05,8.732127e-05,8.73512e-05,1.6686156e-05,1.982388e-05,1.9616042e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0063110683,0.02161844,0.026089197,0.0057352385,0.009590972,0.0068990933,0.0002460437,0.0013743385,0.0015290803,0.00026411732,0.00016665328,0.00015560248,7.148836e-06,1.9711184e-05,1.9710616e-05,7.0821716e-06,1.073869e-05,1.07400565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0013086301,0.0068519595,0.008223432,0.0016092289,0.0045600897,0.0030065677,0.00026250194,0.0015907694,0.0018358588,0.0002847751,0.00021689454,0.00018543472,1.0073596e-05,5.9585203e-05,5.9583035e-05,9.933195e-06,2.6324578e-05,2.632935e-05,2,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00889124,0.030791596,0.052217834,0.010595368,0.02239153,0.013003957,0.0024398174,0.007453088,0.013736452,0.004264715,0.0016189362,0.001405993,0.00067782006,0.0014567511,0.0024717606,0.00095222896,0.0005181107,0.0005969537,0.0,0.0,0.0,0.0,0.0,0.0,0.0005518953,0.0071922997,0.012130805,0.0048578186,0.008643023,0.0032917014,0.0017124444,0.0058293245,0.010928394,0.003704867,0.0012397587,0.0012547829,0.0010798489,0.0022008452,0.004091357,0.0015590008,0.00073380617,0.00094809034,3,0,0
0.0,0.0,0.0,0.0,0.0,0.057123955,0.004516325,0.028567547,0.083304636,0.045545567,0.04383785,0.013717548,0.0035903072,0.012450642,0.05239987,0.021907521,0.0071773627,0.0028926414,0.0024200792,0.0059458907,0.029930566,0.010658933,0.0022104203,0.0041815015,0.0,0.0,0.0,0.0,0.0,0.26793513,0.0023519434,0.0075621167,0.0121440645,0.017741159,0.015399943,0.0027348606,0.0019122631,0.0069355727,0.02494715,0.009673179,0.005360485,0.001687075,0.0024239877,0.0050868136,0.026427643,0.00960869,0.0021244483,0.0035442726,4,2,0
34.40304,4.8853807,-2.3488266,5.4253287,2.204384,1.9872589,0.006626938,0.014710451,0.07746687,0.09865444,0.05379769,0.009317402,0.013727075,0.01992898,0.079564996,0.08195849,0.032182463,0.014550482,0.027129944,0.019486986,0.07658174,0.07458532,0.034343176,0.024960043,44.159,6.3277183,3.0599754,7.0251846,2.8291776,1.589527,0.0039078575,0.006104236,0.0201192,0.018673366,0.011602386,0.002727953,0.010507352,0.009388767,0.015565932,0.043296702,0.023199685,0.011074507,0.012082258,0.012015743,0.019407136,0.04605345,0.023989901,0.011611599,5,2,0
89.2408,13.619034,-4.407741,14.377082,5.960816,0.093811825,0.011893531,0.009971236,0.029820466,0.03852132,0.02604542,0.010079457,0.012952141,0.015571521,0.02324846,0.023778573,0.022706902,0.014507881,0.01100006,0.011955259,0.0133058755,0.011379162,0.016437357,0.009970175,1.6601274,2.091326,0.88805807,1.8352265,0.09557926,0.05269709,0.0010967635,0.0021551282,0.0043436335,0.009049857,0.0041165454,0.0012480444,0.0074611614,0.008935889,0.013558441,0.017504571,0.012151806,0.008200625,0.009758585,0.009782493,0.012848301,0.013418094,0.012216043,0.009875136,6,2,0
90.49112,14.500353,-6.7584853,16.0212,5.8404474,0.060297236,0.007137083,0.0034614021,0.022300303,0.023228439,0.022668296,0.004007501,0.0035526294,0.0031428225,0.0031019314,0.0017857573,0.0037977411,0.0027418826,0.0020094374,0.002358886,0.0028676325,0.0042031175,0.0037309807,0.0026959642,1.2334977,2.370324,0.53876406,2.2731507,0.055600893,0.029560309,0.0011070154,0.0016929943,0.0027754514,0.0014165686,0.0027427026,0.0018043318,0.0010257578,0.0013159832,0.0018623428,0.00074017514,0.001970525,0.00088209176,0.0010217739,0.0006263789,0.0012295208,0.0014837316,0.0014782465,0.0013025678,7,0,0
71.91759,10.085887,-3.8182793,10.823052,4.669384,1.1036345,0.007454878,0.009002138,0.041530512,0.060383044,0.05029494,0.010568263,0.023586724,0.02219619,0.03919559,0.06811191,0.05100494,0.02236366,0.01975736,0.018537022,0.035978265,0.05798166,0.04804226,0.020547211,37.330685,5.705987,2.4198139,6.130226,2.4241538,1.4538127,0.0019129746,0.002544574,0.01546651,0.024941238,0.019332059,0.004377839,0.011556526,0.009913056,0.023622584,0.047234412,0.0320662,0.010603697,0.0144936405,0.014365799,0.030677713,0.056080606,0.03915795,0.014781554,8,2,0
15.282436,2.139757,-1.1836181,2.452854,0.96337193,1.2981105,0.0059244167,0.017561112,0.052836332,0.06482447,0.091463394,0.033944495,0.0062039047,0.008373178,0.015726814,0.028128365,0.083720416,0.023797335,0.009068943,0.011574347,0.011008121,0.019567361,0.06933527,0.018457726,34.174088,4.8012414,2.6986418,5.5043263,2.1544075,1.6537186,0.0026377833,0.004227147,0.014878609,0.020167615,0.009596327,0.006412457,0.0030437484,0.0036408133,0.015100478,0.01603207,0.028077772,0.0076710214,0.008300357,0.007328394,0.008733579,0.012984846,0.038675413,0.0117088305,9,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0063014776,0.014690727,0.027281398,0.014338617,0.057109028,0.031976916,0.0022363705,0.0026878933,0.002000094,0.004182692,0.017980201,0.008667919,0.0013548532,0.0012150719,0.0011874225,0.0012669547,0.0043301797,0.00176429,0.0,0.0,0.0,0.0,0.0,0.0,0.00048848434,0.0037762122,0.0103094615,0.007897825,0.013655265,0.0069538695,0.0014202339,0.0019010244,0.001745331,0.0035528883,0.014633587,0.0063643963,0.0020548967,0.002006937,0.001931128,0.002157872,0.007124207,0.0022815922,10,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0040560574,0.007210972,0.010264415,0.0029626922,0.026795894,0.020696256,0.00024921334,0.0001526307,0.00016503356,0.00025722192,0.0015015929,0.0013521478,7.1594413e-06,1.0641584e-05,1.0624853e-05,6.967236e-06,1.9580762e-05,1.9587695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010478597,0.002820465,0.0047176904,0.0011270174,0.008295957,0.0064427294,0.00027124656,0.00018064177,0.00021529295,0.00027344454,0.0018018478,0.0015641564,1.0160447e-05,2.6046002e-05,2.5987654e-05,9.736066e-06,5.917235e-05,5.9198705e-05,11,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0013434296,0.002701618,0.0030464947,0.001609847,0.010257359,0.009987648,1.7089276e-05,1.5506996e-05,1.5435478e-05,1.6178e-05,4.290116e-05,4.301802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004594123,0.0012250203,0.0018249446,0.00056176353,0.004152359,0.004076186,1.5883423e-05,1.9112282e-05,1.8985062e-05,1.5170595e-05,8.4157706e-05,8.450096e-05,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00065768533,0.0006925558,0.000728927,0.00040218234,0.0030375612,0.0034131869,3.0301115e-07,0.0,0.0,3.032638e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115373725,0.000504888,0.00046401165,0.00024276163,0.0015084323,0.0018112691,8.689352e-07,0.0,0.0,8.6988456e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0
