mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,0.0030501992,0.012455766,0.0148019185,0.0043662204,0.0061741956,0.0056421217,4.7762118e-05,0.00020133174,0.00021188369,4.873787e-05,3.6596764e-05,3.8290702e-05,5.125407e-07,0.0,0.0,5.121247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007850891,0.005384439,0.006330397,0.0014181203,0.001635521,0.001640416,6.111945e-05,0.00039177883,0.00042059433,5.8053156e-05,4.3693748e-05,4.851145e-05,1.9246966e-06,0.0,0.0,1.922708e-06,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.004753902,0.023206322,0.03950499,0.009726677,0.011344646,0.006162288,0.0007612095,0.0029654365,0.005752342,0.0013727451,0.00070772914,0.00083486334,0.00019958144,0.00024178073,0.00051018625,0.00019103196,0.00018632103,0.00018274512,0.0,0.0,0.0,0.0,0.0,0.0,0.00071868254,0.008131502,0.0134761855,0.0027576226,0.0066479333,0.0026496027,0.0008175816,0.0032660663,0.006999176,0.0015543225,0.00071909674,0.00095892284,0.0004534814,0.0005038498,0.0013141612,0.0004197392,0.00043137875,0.00043896708,1,0,0
16.953638,1.8895454,0.10970285,1.8933688,0.011182913,1.1989855,0.0034338937,0.03439468,0.08864316,0.023114437,0.018485762,0.007565318,0.005573193,0.022093771,0.0702366,0.01818045,0.0058172964,0.0060412474,0.010412894,0.016672067,0.056445286,0.015246163,0.00946229,0.010831229,35.295147,3.964384,0.24819821,3.9718404,0.025964957,1.650891,0.0014500726,0.010905213,0.0201862,0.009903266,0.014310636,0.0037537906,0.0037718704,0.014507837,0.042066216,0.011880973,0.0029460466,0.004014788,0.010824235,0.015347955,0.04864806,0.014879502,0.0095483735,0.009616186,2,1,0
24.572544,2.9265163,-0.20947576,2.9615188,0.84611577,1.589716,0.007456894,0.017797234,0.08386426,0.07974007,0.055245873,0.010532732,0.012176676,0.019361999,0.08187277,0.063030966,0.031270232,0.011859669,0.016542923,0.01772735,0.07203321,0.052764624,0.022788463,0.016028086,39.957253,4.78674,0.8910463,4.85228,2.1019382,1.6670082,0.003605539,0.0071796104,0.01585352,0.021143429,0.011726006,0.0042660367,0.01276801,0.007784776,0.022296086,0.0441719,0.022303142,0.010915282,0.015843123,0.012835413,0.031961285,0.045581292,0.027616238,0.013193073,3,2,0
86.53989,11.172359,-3.565158,11.778907,5.9684734,0.18571173,0.010985098,0.009363876,0.04237518,0.051070232,0.032236524,0.0087432945,0.019666387,0.021328196,0.033141643,0.04796092,0.029593239,0.019350484,0.014867751,0.01717519,0.021460276,0.032049753,0.022637326,0.014478961,1.7565535,1.3612385,0.8658307,1.1798135,0.093638964,0.2842409,0.0014815397,0.0020035892,0.007516534,0.01108534,0.0061594145,0.0021791968,0.008345339,0.0089137005,0.016084034,0.023709022,0.012795024,0.008488572,0.012781212,0.013097189,0.016135486,0.024317905,0.016118394,0.011931984,4,2,0
88.95154,13.227963,-2.26227,13.449772,6.1138544,0.10394074,0.0097445985,0.0060903137,0.030146098,0.029835893,0.028053187,0.0080596935,0.007942773,0.007625745,0.010150604,0.011725826,0.009592897,0.008604561,0.0058960794,0.0051749004,0.0045984983,0.004636712,0.0049903244,0.005127079,1.3512709,0.73009866,0.8880987,0.7227093,0.06706915,0.03712295,0.0024108207,0.0036610877,0.004362014,0.005581388,0.0038488512,0.003046516,0.0048330347,0.0061275237,0.009788144,0.010160901,0.008809106,0.006399826,0.0050403276,0.0039330996,0.004846384,0.0050246436,0.005080936,0.0043221344,5,0,0
87.31194,12.638706,-5.575704,13.92495,5.8670635,0.08047806,0.007199915,0.009460546,0.028655173,0.035772264,0.033591423,0.008092168,0.011697263,0.012851984,0.01474733,0.018449666,0.015921077,0.012017445,0.0069543584,0.009156778,0.0074030883,0.009140805,0.0073482785,0.008250737,1.5229216,1.0509139,1.6118138,0.7896319,0.12722951,0.03507586,0.0017807883,0.0031847404,0.0063987635,0.009393853,0.006697352,0.004455583,0.008305682,0.008827454,0.01158903,0.016085219,0.013212917,0.008490027,0.009623003,0.01015905,0.0095818555,0.011564663,0.01019774,0.009122345,6,2,0
69.96123,10.164284,-8.066037,12.999131,4.4333525,1.2463883,0.008054177,0.012856844,0.04984595,0.079969145,0.061197136,0.015249789,0.021877015,0.021515522,0.049549922,0.094471246,0.06526841,0.01990074,0.033573806,0.032040652,0.05503396,0.083546124,0.06439513,0.027832536,36.15226,5.347553,4.399967,6.881294,2.2900453,1.4066069,0.0013519296,0.002025016,0.009121502,0.014333642,0.008686603,0.0015036641,0.0065167607,0.007459751,0.014891818,0.027679281,0.015224681,0.009759379,0.014255161,0.012557356,0.026220394,0.038375717,0.029607033,0.014635055,7,2,0
22.32716,2.8369255,-2.0061562,3.478707,1.41839,2.1110744,0.0055096867,0.008332229,0.06693641,0.099278554,0.094631635,0.014785869,0.007040087,0.0077796346,0.022307515,0.058914185,0.08710214,0.013982619,0.028044745,0.027521938,0.020107675,0.048965123,0.079305656,0.01681285,38.69603,4.951776,3.5659444,6.09979,2.4568532,1.7437911,0.0018854729,0.0012126575,0.010437498,0.014197731,0.008787359,0.006445914,0.0026388408,0.0033793768,0.018740796,0.025983857,0.01609344,0.0068871905,0.012331547,0.009843716,0.00927268,0.01482909,0.024645716,0.00684056,8,2,0
6.1022105,0.70556,-0.43749455,0.8313394,0.3821986,0.74750876,0.009690377,0.009423628,0.044727482,0.042680033,0.09116782,0.031412676,0.0072332323,0.00629956,0.011100954,0.022042144,0.064875945,0.024113892,0.007442123,0.0065302094,0.00525113,0.014549653,0.045413032,0.017334398,22.833248,2.6449327,1.6639904,3.1245198,1.4301212,1.4763938,0.0011366446,0.0038466323,0.016832372,0.017436052,0.013763572,0.008726188,0.0049430076,0.0037606691,0.0041939886,0.011498474,0.032979466,0.014178798,0.0074612824,0.005521013,0.0051466655,0.013136641,0.039881807,0.018362062,9,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0043529696,0.0074073263,0.020612027,0.008603087,0.054705337,0.028268533,0.0024883456,0.0024599456,0.0027187066,0.0018861707,0.014187062,0.0067788064,0.00080567645,0.00048338826,0.0005892343,0.0006191202,0.0027048888,0.0013804049,0.0,0.0,0.0,0.0,0.0,0.0,0.0015161957,0.0038100076,0.009753036,0.003912209,0.015197767,0.008483837,0.0020809832,0.0020319878,0.0020281402,0.0017179662,0.013692916,0.006175787,0.0013848728,0.0007834871,0.00094272295,0.0009135454,0.005232662,0.0025553256,10,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0026090096,0.003944152,0.0068912776,0.0047965413,0.025467113,0.017478174,0.00026076607,0.00015645464,0.00016444703,0.00029558144,0.001201165,0.00093263265,8.967526e-06,8.676922e-06,8.674515e-06,1.0098666e-05,1.5975704e-05,1.5976702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0008881322,0.0020622688,0.00415847,0.001378381,0.009189046,0.0066534067,0.00035488175,0.00016660873,0.00016870475,0.0003726071,0.0017087588,0.0012612399,2.0377962e-05,2.4132967e-05,2.4123516e-05,2.320745e-05,5.4567085e-05,5.4571356e-05,11,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0011207461,0.0018964516,0.0018637248,0.0015195025,0.010017935,0.008495504,1.4066833e-05,1.2594331e-05,1.2452668e-05,1.3475704e-05,3.494251e-05,3.502678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000495267,0.0007753621,0.0013559707,0.0007721337,0.004673893,0.003925052,1.6086564e-05,1.8431274e-05,1.8142511e-05,1.509315e-05,7.85998e-05,7.886374e-05,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00039898866,0.0005656817,0.00047622737,0.00014814906,0.0030296992,0.0029274493,2.4367063e-07,0.0,0.0,2.433673e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1004884e-05,0.00036138075,0.00035546612,8.710345e-05,0.0018396947,0.0017469436,7.909766e-07,0.0,0.0,7.8969424e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.00016723956,0.00012886879,0.00013351973,0.00016706431,0.0005785353,0.0005791769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9300354e-05,5.044581e-05,5.227798e-05,2.9469034e-05,0.00051259756,0.00050867005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0
0.0,0.0,0.0,0.0,0.0,0.0,5.9021502e-05,3.9914623e-05,4.005974e-05,6.0300947e-05,5.9568316e-05,5.945334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5555742e-05,4.3618653e-05,4.381533e-05,3.800976e-05,8.093811e-05,8.0678765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
0.0,0.0,0.0,0.0,0.0,0.0,7.950856e-06,1.164931e-06,1.1651363e-06,7.929872e-06,1.2056219e-06,1.2054268e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0263004e-05,3.4600716e-06,3.4609127e-06,1.03187285e-05,3.6270774e-06,3.6262736e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.5964257e-07,0.0,0.0,1.5959641e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8352587e-07,0.0,0.0,4.833354e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0
