image,parasite_cluster,score_parasite_cluster,pixels_parasite_global,pixels_total_global,parasite_area_fraction_global,pixels_parasite_RBC,pixels_RBC,parasite_area_fraction_RBC
000_seg_000.png,0,-inf,7387,9603,0.7692387795480579,0,0,0.0
000_seg_000_seg.png,0,-inf,7311,9603,0.7613245860668542,0,0,0.0
000_seg_001.png,0,-0.09114709496498108,7632,9968,0.7656500802568218,36,36,1.0
000_seg_001_seg.png,0,-inf,7512,9968,0.7536115569823435,0,0,0.0
000_seg_002.png,0,-0.1671474725008011,8021,10560,0.7595643939393939,50,50,1.0
000_seg_002_seg.png,0,-inf,7973,10560,0.7550189393939394,0,0,0.0
000_seg_003.png,0,-inf,8798,11300,0.7785840707964602,0,0,0.0
000_seg_003_seg.png,0,-inf,8731,11300,0.7726548672566371,0,0,0.0
000_seg_004.png,0,-0.11655622720718384,7768,10450,0.7433492822966508,339,339,1.0
000_seg_004_seg.png,0,-inf,7730,10450,0.7397129186602871,0,0,0.0
000_seg_005.png,1,0.09142380952835083,1321,10908,0.1211037770443711,28,62,0.45161290322580644
000_seg_005_seg.png,0,-inf,8443,10908,0.774019068573524,0,0,0.0
000_seg_006.png,0,-inf,7364,9603,0.7668436946787462,0,0,0.0
000_seg_006_seg.png,0,-inf,7343,9603,0.7646568780589399,0,0,0.0
000_seg_007.png,0,-0.27915865182876587,7542,9999,0.7542754275427542,76,76,1.0
000_seg_007_seg.png,0,-inf,7505,9999,0.7505750575057506,0,0,0.0
000_seg_008.png,0,-inf,8012,10464,0.7656727828746177,0,0,0.0
000_seg_008_seg.png,0,-inf,7943,10464,0.75907874617737,0,0,0.0
000_seg_009.png,2,0.05947592109441757,1286,9880,0.13016194331983805,147,393,0.37404580152671757
000_seg_009_seg.png,0,-inf,7388,9880,0.7477732793522267,0,0,0.0
000_seg_010.png,0,-inf,5847,7084,0.8253811405985318,0,0,0.0
000_seg_010_seg.png,0,-inf,5758,7084,0.8128176171654432,0,0,0.0
000_seg_011.png,0,-0.12144631892442703,8935,11413,0.7828791728730395,148,148,1.0
000_seg_011_seg.png,0,-inf,8823,11413,0.7730658021554367,0,0,0.0
000_seg_012.png,0,-inf,6292,8265,0.7612825166364187,0,0,0.0
000_seg_012_seg.png,0,-inf,6214,8265,0.7518451300665456,0,0,0.0
000_seg_013.png,0,-inf,6390,8448,0.7563920454545454,0,0,0.0
000_seg_013_seg.png,0,-inf,6320,8448,0.7481060606060606,0,0,0.0
000_seg_014.png,2,-0.005304137710481882,1517,11988,0.12654320987654322,87,220,0.39545454545454545
000_seg_014_seg.png,0,-inf,9214,11988,0.768601935268602,0,0,0.0
000_seg_015.png,0,-0.0655430257320404,6792,9000,0.7546666666666667,60,60,1.0
000_seg_015_seg.png,0,-inf,6728,9000,0.7475555555555555,0,0,0.0
000_seg_016.png,1,0.08288043737411499,1163,10388,0.11195610319599537,58,775,0.07483870967741936
000_seg_016_seg.png,0,-inf,7717,10388,0.7428763958413555,0,0,0.0
000_seg_017.png,0,-inf,8249,10545,0.7822664770033191,0,0,0.0
000_seg_017_seg.png,0,-inf,8192,10545,0.7768610715979137,0,0,0.0
000_seg_018.png,0,-inf,5839,7830,0.7457215836526181,0,0,0.0
000_seg_018_seg.png,0,-inf,5796,7830,0.7402298850574712,0,0,0.0
000_seg_019.png,0,-inf,7214,9167,0.7869532017017563,0,0,0.0
000_seg_019_seg.png,0,-inf,7167,9167,0.781826115413985,0,0,0.0
000_seg_020.png,0,-inf,8446,10998,0.767957810511002,0,0,0.0
000_seg_020_seg.png,0,-inf,8292,10998,0.7539552645935624,0,0,0.0
000_seg_021.png,0,-inf,4531,5733,0.7903366474795046,0,0,0.0
000_seg_021_seg.png,0,-inf,4563,5733,0.7959183673469388,0,0,0.0
000_seg_038.png,1,0.030780170112848282,971,14632,0.06636139967195188,253,992,0.2550403225806452
000_seg_038_seg.png,0,-inf,10920,14632,0.7463094587206124,0,0,0.0
001_seg_000.png,0,-inf,5567,7304,0.7621851040525739,0,0,0.0
001_seg_000_seg.png,0,-inf,5531,7304,0.7572562979189486,0,0,0.0
001_seg_001.png,1,0.05383682623505592,1546,9072,0.17041446208112876,256,2157,0.1186833565136764
001_seg_001_seg.png,0,-inf,6273,9072,0.691468253968254,0,0,0.0
001_seg_002.png,0,-inf,6950,9130,0.7612267250821467,0,0,0.0
001_seg_002_seg.png,0,-inf,6862,9130,0.7515881708652793,0,0,0.0
001_seg_003.png,0,-inf,2947,3740,0.7879679144385027,0,0,0.0
001_seg_003_seg.png,0,-inf,2908,3740,0.7775401069518717,0,0,0.0
001_seg_004.png,0,-inf,5441,7462,0.7291610828196194,0,0,0.0
001_seg_004_seg.png,0,-inf,5314,7462,0.7121415170195659,0,0,0.0
001_seg_005.png,0,0.042837370187044144,6632,8820,0.7519274376417233,101,101,1.0
001_seg_005_seg.png,0,-inf,6562,8820,0.7439909297052154,0,0,0.0
001_seg_006.png,2,0.035416051745414734,1448,10735,0.13488588728458314,52,246,0.21138211382113822
001_seg_006_seg.png,0,-inf,8001,10735,0.7453190498369818,0,0,0.0
001_seg_007.png,0,-0.021694092079997063,5039,6696,0.7525388291517324,121,121,1.0
001_seg_007_seg.png,0,-inf,4972,6696,0.7425328554360813,0,0,0.0
001_seg_008.png,0,-0.03534715250134468,7498,9944,0.75402252614642,354,354,1.0
