mean_L,mean_a,mean_b,mean_C,mean_h,mean_gradL,mean_gabor_0,mean_gabor_1,mean_gabor_2,mean_gabor_3,mean_gabor_4,mean_gabor_5,mean_gabor_6,mean_gabor_7,mean_gabor_8,mean_gabor_9,mean_gabor_10,mean_gabor_11,mean_gabor_12,mean_gabor_13,mean_gabor_14,mean_gabor_15,mean_gabor_16,mean_gabor_17,std_L,std_a,std_b,std_C,std_h,std_gradL,std_gabor_0,std_gabor_1,std_gabor_2,std_gabor_3,std_gabor_4,std_gabor_5,std_gabor_6,std_gabor_7,std_gabor_8,std_gabor_9,std_gabor_10,std_gabor_11,std_gabor_12,std_gabor_13,std_gabor_14,std_gabor_15,std_gabor_16,std_gabor_17,superpixel,cluster,in_RBC
0.0,0.0,0.0,0.0,0.0,0.0,0.0064265523,0.015685268,0.018367825,0.008285624,0.008698507,0.0074441563,0.00013713771,0.00043631528,0.00047914116,0.0001585694,6.5400825e-05,6.0080303e-05,2.0327082e-06,1.4671075e-06,1.4671075e-06,2.0327082e-06,1.4671075e-06,1.4671075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.001498951,0.0064100646,0.0072684838,0.0023058678,0.0016565125,0.0019550237,0.00019259141,0.0007656987,0.0008587262,0.0002234887,5.916776e-05,4.971272e-05,5.584324e-06,7.1873296e-06,7.1873296e-06,5.584324e-06,7.1873296e-06,7.1873296e-06,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.009236305,0.02542957,0.04557599,0.01793593,0.013970287,0.008468858,0.0010965854,0.0037233264,0.008835852,0.0033203764,0.0009276402,0.00077334547,0.00022255536,0.00042374537,0.0011520432,0.00050739216,0.00025637305,0.0002950487,0.0,0.0,0.0,0.0,0.0,0.0,0.0017825771,0.008370185,0.014832344,0.0044614486,0.0067419875,0.001925297,0.0010953281,0.0039157327,0.009929426,0.003574147,0.00080023205,0.0007313459,0.00041437018,0.0007835607,0.0026434073,0.0010169855,0.00045789676,0.0005840378,1,0,0
5.3223457,0.80258197,-0.20524877,0.82841104,0.3656252,0.5055467,0.0064627486,0.027635569,0.08710341,0.027094936,0.023762371,0.0071374993,0.001362808,0.010713452,0.056919392,0.019601135,0.0026551364,0.0012091852,0.0017320229,0.0066496613,0.03690714,0.012518656,0.001555833,0.0035623864,20.954096,3.1597683,0.80806524,3.2614574,1.4394679,1.2740529,0.001991442,0.009063246,0.019857073,0.010091701,0.015071519,0.0028881102,0.0011449183,0.0078003625,0.03925085,0.014112963,0.002114192,0.000929661,0.001938466,0.007754573,0.042227026,0.014450797,0.00189255,0.0037266654,2,2,0
15.054635,2.2701604,-0.5805608,2.3432198,1.034197,1.4299749,0.009089622,0.023353342,0.09981547,0.072367884,0.045399286,0.008619485,0.00505757,0.018284926,0.08814419,0.035409544,0.009388416,0.004747763,0.007227546,0.015451089,0.07345886,0.029171433,0.0072446023,0.01054065,33.097378,4.990912,1.2763538,5.151532,2.273666,1.808164,0.0019893502,0.0036216145,0.012615009,0.027430011,0.020844927,0.004849398,0.003683781,0.0063079763,0.031008834,0.010629224,0.010275727,0.003924213,0.006853865,0.008917547,0.04190355,0.015878037,0.0078006657,0.006555432,3,2,0
29.758747,4.893716,-1.8087158,5.254555,2.0436914,2.746434,0.016928496,0.015808493,0.06908634,0.15143174,0.053956635,0.012609914,0.014056721,0.013149293,0.06835499,0.108886845,0.036432218,0.011045327,0.020871304,0.014678786,0.05724512,0.08386877,0.0327014,0.018670183,41.128998,6.8054204,2.8914754,7.367764,2.8245816,1.7018715,0.002627843,0.004095809,0.015916536,0.017618246,0.008487445,0.002775899,0.0069596665,0.0061991103,0.020634705,0.038330637,0.018051634,0.0053255274,0.010958528,0.009215745,0.029727742,0.025104955,0.008418485,0.012081323,4,2,0
30.994837,4.6738596,-1.1952722,4.824276,2.129229,1.5571845,0.020050311,0.01898051,0.03289608,0.12830433,0.03021587,0.019242713,0.0159806,0.0141731305,0.054737635,0.19598037,0.050037324,0.014559243,0.014957078,0.010130215,0.066906184,0.19175643,0.062218197,0.009910616,41.967205,6.328436,1.6184063,6.5321,2.88299,1.921672,0.0014517944,0.0010796374,0.0051208586,0.021978842,0.005683671,0.00066578074,0.010058346,0.0082809655,0.010224204,0.017053936,0.012845911,0.008100825,0.014476183,0.010250327,0.017388975,0.03814271,0.012278226,0.010294521,5,2,0
76.84137,11.587276,-2.963279,11.960185,5.278714,3.3952847,0.018339213,0.020490764,0.038465746,0.085665494,0.035981495,0.020053357,0.022611279,0.025051009,0.06398425,0.14909221,0.06297947,0.024959285,0.02559081,0.027360205,0.06494201,0.15290649,0.063492134,0.027154582,29.043308,4.379578,1.1200143,4.5205255,1.9951665,0.84973043,0.0007062494,0.0022612123,0.0025544506,0.017562607,0.0024587614,0.0010244093,0.011269842,0.014140036,0.009669678,0.034154166,0.008203323,0.01317871,0.0217152,0.022695076,0.015473052,0.03339723,0.014655643,0.021868281,6,2,0
87.81872,13.242603,-3.3866045,13.668784,6.0328155,0.0,0.0133005865,0.015629092,0.024653805,0.03182971,0.021533629,0.0155756315,0.011067506,0.011693745,0.015996076,0.020129887,0.015761402,0.012582972,0.0077518914,0.00804787,0.00860689,0.008964525,0.00876723,0.008197387,1.5258789e-05,9.536743e-07,2.3841858e-07,1.9073486e-06,4.7683716e-07,0.0,0.0031097985,0.004469449,0.00645619,0.010383041,0.0061736084,0.0030112024,0.008783915,0.009282436,0.013849854,0.017727029,0.012858081,0.009443028,0.009881549,0.009091766,0.011006664,0.012436723,0.010514631,0.010002738,7,2,0
87.81872,13.242601,-3.3866048,13.668782,6.032815,0.006670423,0.0047369925,0.0039750487,0.008806192,0.00945857,0.009081633,0.006504311,0.0018610001,0.0027234305,0.0023115866,0.0017450331,0.0024532387,0.001996015,0.0016233341,0.0024822415,0.0025302449,0.0018521553,0.0024026982,0.0023752141,1.5258789e-05,9.536743e-07,0.0,0.0,9.536743e-07,0.0203359,0.0015828817,0.0021982698,0.0039963964,0.0034346846,0.0031522256,0.0026939411,0.00079516787,0.00046479818,0.00062072626,0.00057202234,0.00071351766,0.0004577349,0.0005218108,0.00039875743,0.00042212618,0.00038360214,0.00040629978,0.0003658549,8,0,0
87.81872,13.242601,-3.3866048,13.668782,6.032815,0.002762981,0.0035144563,0.0023173436,0.0027136966,0.0029866085,0.00430171,0.0017820677,0.0015153406,0.0021979415,0.0022172446,0.0014902849,0.0023486516,0.002371878,0.0017824427,0.0023402441,0.0023359996,0.0017855831,0.0024588795,0.0024544834,1.5258789e-05,9.536743e-07,0.0,0.0,9.536743e-07,0.012043555,0.00031717378,0.0005747551,0.0013372545,0.0006745572,0.0011446743,0.0006537093,0.0001938089,0.00027170376,0.00023662185,0.00020458082,0.00024033502,0.00024478522,0.0002821207,0.00031535,0.00031545377,0.0002817221,0.0003605975,0.0003615577,9,0,0
