imagen,cluster,pixeles,dispersion_var_LAB,centroid_L,centroid_A,centroid_B,rank_size,is_background,is_background_color_heur
000_seg_000.png,0,4962,26.083251953125,82.96124267578125,14.362504959106445,-5.568413257598877,1.0,1,0
000_seg_000.png,2,2000,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_000.png,3,1858,44.934513092041016,73.61160278320312,18.611019134521484,-18.57278060913086,3.0,0,0
000_seg_000.png,1,783,67.38444519042969,59.65132522583008,28.644216537475586,-34.907169342041016,4.0,0,0
000_seg_001.png,1,5750,12.823244094848633,87.85958099365234,13.23707389831543,-3.469355583190918,1.0,1,0
000_seg_001.png,2,2381,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_001.png,0,1402,20.152570724487305,84.43407440185547,16.05453109741211,-8.49475383758545,3.0,0,0
000_seg_001.png,3,435,75.48045349121094,72.26656341552734,23.089147567749023,-21.699392318725586,4.0,0,0
000_seg_002.png,0,6906,12.274982452392578,90.84505462646484,12.637629508972168,-5.431794166564941,1.0,1,0
000_seg_002.png,3,2858,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_002.png,1,652,36.503719329833984,84.3760757446289,16.41963768005371,-14.480179786682129,3.0,0,0
000_seg_002.png,2,144,120.73613739013672,62.40878677368164,33.101463317871094,-41.114471435546875,4.0,0,0
000_seg_003.png,0,7507,14.146590232849121,91.5670166015625,12.126253128051758,-5.6446213722229,1.0,1,0
000_seg_003.png,2,2428,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_003.png,3,1073,45.79161834716797,84.06510162353516,17.92145347595215,-16.908662796020508,3.0,0,0
000_seg_003.png,1,292,164.40911865234375,64.7485122680664,31.93264389038086,-39.24138641357422,4.0,0,0
000_seg_004.png,3,6708,12.701765060424805,90.97555541992188,12.70081901550293,-6.591379642486572,1.0,1,0
000_seg_004.png,1,2794,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_004.png,0,739,32.64263916015625,85.24898529052734,16.759775161743164,-15.330405235290527,3.0,0,0
000_seg_004.png,2,209,97.34490966796875,71.04666900634766,29.86419677734375,-30.762065887451172,4.0,0,0
000_seg_005.png,2,5423,12.902103424072266,91.67757415771484,12.500767707824707,-7.562605857849121,1.0,1,0
000_seg_005.png,3,3004,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_005.png,0,2354,10.583751678466797,94.2884521484375,8.439468383789062,-4.321193695068359,3.0,0,0
000_seg_005.png,1,127,259.3728332519531,65.53216552734375,29.874841690063477,-37.84138488769531,4.0,0,0
000_seg_006.png,3,7070,12.99919319152832,90.70423126220703,12.52334976196289,-6.8779120445251465,1.0,1,0
000_seg_006.png,2,2111,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_006.png,0,315,73.75656127929688,79.74922943115234,16.736488342285156,-20.91666603088379,3.0,0,0
000_seg_006.png,1,107,137.21119689941406,58.704280853271484,28.963403701782227,-43.7332878112793,4.0,0,0
000_seg_007.png,2,6270,14.472905158996582,93.57987976074219,10.197317123413086,-5.277825355529785,1.0,1,0
000_seg_007.png,0,2896,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_007.png,1,679,62.49323272705078,85.40428924560547,15.542210578918457,-15.29012680053711,3.0,0,0
000_seg_007.png,3,154,137.95948791503906,64.70515441894531,32.56404495239258,-38.31636047363281,4.0,0,0
000_seg_008.png,0,6273,7.431097984313965,93.32202911376953,10.477572441101074,-4.775763988494873,1.0,1,0
000_seg_008.png,3,2075,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_008.png,2,1693,14.040788650512695,91.8528823852539,13.22492504119873,-9.441606521606445,3.0,0,0
000_seg_008.png,1,423,76.26290130615234,78.9988021850586,18.909181594848633,-27.111297607421875,4.0,0,0
000_seg_009.png,1,5319,19.436010360717773,89.32565307617188,12.778313636779785,-7.387523651123047,1.0,1,0
000_seg_009.png,0,3186,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_009.png,2,1148,34.30393600463867,84.57686614990234,15.191617012023926,-14.790828704833984,3.0,0,0
000_seg_009.png,3,227,145.93798828125,65.9722671508789,24.48894691467285,-35.98530197143555,4.0,0,0
000_seg_010.png,3,4090,23.740530014038086,82.45763397216797,13.345598220825195,-4.336912631988525,1.0,1,0
000_seg_010.png,1,1379,46.62685775756836,76.9942398071289,16.6650390625,-13.364714622497559,2.0,0,0
000_seg_010.png,2,1332,0.0,0.0,0.0,0.0,3.0,0,1
000_seg_010.png,0,283,124.91387176513672,57.13669204711914,27.21331024169922,-34.2520637512207,4.0,0,0
000_seg_011.png,1,6739,16.248815536499023,87.28443908691406,12.904582023620605,-6.636429309844971,1.0,1,0
000_seg_011.png,3,3563,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_011.png,2,947,31.891183853149414,81.52711486816406,15.953389167785645,-15.33094310760498,3.0,0,0
000_seg_011.png,0,164,94.53419494628906,64.0567626953125,29.60124969482422,-35.07030487060547,4.0,0,0
000_seg_012.png,1,5893,19.398767471313477,87.15521240234375,13.630593299865723,-7.652420997619629,1.0,1,0
000_seg_012.png,0,1779,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_012.png,3,407,54.490211486816406,75.9149169921875,19.12786865234375,-20.431798934936523,3.0,0,0
000_seg_012.png,2,186,56.47631072998047,63.33271789550781,29.092390060424805,-36.16508865356445,4.0,0,0
000_seg_013.png,0,5400,16.005474090576172,89.40386199951172,13.838464736938477,-6.115694522857666,1.0,1,0
000_seg_013.png,1,1821,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_013.png,3,892,47.51202392578125,81.92020416259766,17.87088966369629,-15.867584228515625,3.0,0,0
000_seg_013.png,2,335,109.31841278076172,63.065834045410156,32.1908073425293,-36.70130920410156,4.0,0,0
000_seg_014.png,0,7807,23.177080154418945,87.62443542480469,13.797261238098145,-3.6000773906707764,1.0,1,0
000_seg_014.png,2,2620,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_014.png,3,1225,47.627113342285156,80.16868591308594,17.047163009643555,-11.87781047821045,3.0,0,0
000_seg_014.png,1,336,157.63351440429688,59.87076187133789,28.09468650817871,-31.852001190185547,4.0,0,0
000_seg_015.png,0,6091,18.8565616607666,89.44036102294922,13.705672264099121,-6.267708778381348,1.0,1,0
000_seg_015.png,3,2115,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_015.png,1,647,41.332881927490234,81.81531524658203,18.933015823364258,-16.851844787597656,3.0,0,0
000_seg_015.png,2,147,68.20704650878906,66.0041732788086,31.691993713378906,-32.43992614746094,4.0,0,0
000_seg_016.png,2,4325,12.499513626098633,88.01898956298828,13.749039649963379,-4.24971342086792,1.0,1,0
000_seg_016.png,0,3249,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_016.png,1,2393,22.260202407836914,85.30399322509766,16.83895492553711,-9.363811492919922,3.0,0,0
000_seg_016.png,3,421,114.80216979980469,71.26482391357422,26.80063819885254,-23.07377052307129,4.0,0,0
000_seg_017.png,1,7466,14.752169609069824,89.71207427978516,14.85278034210205,-3.4798529148101807,1.0,1,0
000_seg_017.png,0,2455,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_017.png,2,530,75.55282592773438,79.8031234741211,23.562301635742188,-18.181716918945312,3.0,0,0
000_seg_017.png,3,94,132.61199951171875,57.71465301513672,32.116302490234375,-37.47120666503906,4.0,0,0
000_seg_018.png,3,3762,27.031667709350586,86.28385925292969,15.80707836151123,-1.5412853956222534,1.0,1,0
000_seg_018.png,0,2454,49.430213928222656,82.80831146240234,18.141559600830078,-10.561904907226562,2.0,0,0
000_seg_018.png,1,1248,0.0,0.0,0.0,0.0,3.0,0,1
000_seg_018.png,2,366,168.94027709960938,62.15550231933594,28.040971755981445,-30.041526794433594,4.0,0,0
000_seg_019.png,2,5744,14.623148918151855,91.33905029296875,12.950533866882324,-4.989905834197998,1.0,1,0
000_seg_019.png,3,1663,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_019.png,1,1598,41.553279876708984,87.03642272949219,17.01433753967285,-12.049018859863281,3.0,0,0
000_seg_019.png,0,162,195.7088623046875,63.50244903564453,30.100242614746094,-36.1937141418457,4.0,0,0
000_seg_020.png,3,4585,9.98596477508545,92.5338363647461,11.336078643798828,-3.420902967453003,1.0,1,0
000_seg_020.png,1,3485,14.938288688659668,91.26529693603516,14.354597091674805,-7.4287543296813965,2.0,0,0
000_seg_020.png,0,2706,0.0,0.0,0.0,0.0,3.0,0,1
000_seg_020.png,2,222,154.86233520507812,71.43620300292969,35.78745651245117,-31.467926025390625,4.0,0,0
000_seg_021.png,1,4058,13.990945816040039,93.61898803710938,10.07687759399414,-5.523346424102783,1.0,1,0
000_seg_021.png,3,1021,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_021.png,2,497,62.78853225708008,85.8702392578125,16.651405334472656,-15.948698997497559,3.0,0,0
000_seg_021.png,0,157,139.5493621826172,68.25433349609375,27.070232391357422,-34.58389663696289,4.0,0,0
000_seg_038.png,1,7953,14.63015365600586,90.59131622314453,11.669835090637207,-6.217568874359131,1.0,1,0
000_seg_038.png,2,5898,0.0,0.0,0.0,0.0,2.0,0,1
000_seg_038.png,0,618,37.50252151489258,84.1480941772461,16.30604362487793,-14.899028778076172,3.0,0,0
000_seg_038.png,3,163,105.62451934814453,63.934722900390625,26.838071823120117,-36.05366516113281,4.0,0,0
001_seg_000.png,0,3193,9.853994369506836,88.49971008300781,14.457428932189941,3.226471185684204,1.0,1,0
001_seg_000.png,1,2074,20.00516128540039,84.85803985595703,17.92392921447754,-0.8326916098594666,2.0,0,0
001_seg_000.png,3,1866,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_000.png,2,171,112.20552062988281,66.67143249511719,24.846057891845703,-24.298080444335938,4.0,0,0
001_seg_001.png,3,4165,21.200225830078125,86.55110931396484,17.044475555419922,2.455578565597534,1.0,1,0
001_seg_001.png,0,3753,0.0,0.0,0.0,0.0,2.0,0,1
001_seg_001.png,1,915,44.49335861206055,78.9848403930664,21.30067253112793,-5.851707935333252,3.0,0,0
001_seg_001.png,2,239,75.55012512207031,64.79242706298828,26.339677810668945,-22.816194534301758,4.0,0,0
001_seg_002.png,0,4168,19.646596908569336,91.04033660888672,10.972192764282227,3.889838457107544,1.0,1,0
001_seg_002.png,3,2636,24.006589889526367,86.48414611816406,17.856239318847656,0.26072150468826294,2.0,0,0
001_seg_002.png,1,2067,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_002.png,2,259,57.56862258911133,73.64596557617188,22.87172508239746,-14.263553619384766,4.0,0,0
001_seg_003.png,3,1828,31.56724739074707,85.9825439453125,18.11258888244629,-0.651023268699646,1.0,1,0
001_seg_003.png,1,860,0.0,0.0,0.0,0.0,2.0,0,1
001_seg_003.png,0,727,50.913116455078125,77.4044189453125,23.947322845458984,-9.867982864379883,3.0,0,0
001_seg_003.png,2,325,75.31300354003906,63.14565658569336,30.708946228027344,-25.795166015625,4.0,0,0
001_seg_004.png,1,4091,20.449296951293945,89.12653350830078,13.755566596984863,4.162123203277588,1.0,1,0
001_seg_004.png,3,1601,0.0,0.0,0.0,0.0,2.0,0,1
001_seg_004.png,0,1560,25.873580932617188,84.60267639160156,19.460241317749023,-1.4751530885696411,3.0,0,0
001_seg_004.png,2,210,62.20014572143555,71.11564636230469,22.763286590576172,-14.79330062866211,4.0,0,0
001_seg_005.png,1,2963,37.87502670288086,83.02366638183594,19.546369552612305,-1.157092809677124,1.0,1,0
001_seg_005.png,0,2914,16.710695266723633,88.79427337646484,13.578226089477539,5.4066925048828125,2.0,0,0
001_seg_005.png,2,2495,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_005.png,3,448,103.26300811767578,66.34264373779297,23.415605545043945,-19.425094604492188,4.0,0,0
001_seg_006.png,2,4640,23.687728881835938,82.54470825195312,17.212106704711914,-0.2793115973472595,1.0,1,0
001_seg_006.png,3,3452,15.821976661682129,87.03784942626953,13.621260643005371,2.8722293376922607,2.0,0,0
001_seg_006.png,1,2461,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_006.png,0,182,107.46791076660156,66.54035949707031,26.33344268798828,-23.55940818786621,4.0,0,0
001_seg_007.png,1,3077,18.345802307128906,87.58531951904297,14.477294921875,1.0208399295806885,1.0,1,0
001_seg_007.png,2,2168,24.054821014404297,82.77601623535156,17.83437156677246,-2.9997129440307617,2.0,0,0
001_seg_007.png,3,1285,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_007.png,0,166,114.43415832519531,65.05911254882812,23.151351928710938,-25.83081817626953,4.0,0,0
001_seg_008.png,0,3851,13.773942947387695,88.90459442138672,14.213994026184082,0.9180012345314026,1.0,1,0
001_seg_008.png,1,3402,0.0,0.0,0.0,0.0,2.0,0,1
001_seg_008.png,2,2355,21.63549041748047,85.71768188476562,17.684898376464844,-4.518974781036377,3.0,0,0
001_seg_008.png,3,336,89.90374755859375,68.60700225830078,22.878170013427734,-22.112377166748047,4.0,0,0
001_seg_009.png,2,3919,15.412416458129883,85.26215362548828,16.083940505981445,3.6001038551330566,1.0,1,0
001_seg_009.png,1,3469,0.0,0.0,0.0,0.0,2.0,0,1
001_seg_009.png,0,1756,24.26868438720703,79.66132354736328,18.353803634643555,-2.746420383453369,3.0,0,0
001_seg_009.png,3,235,77.32527923583984,67.30905151367188,20.13562774658203,-17.744243621826172,4.0,0,0
001_seg_010.png,1,1573,15.706665992736816,86.32207489013672,16.62752342224121,2.110031843185425,1.0,1,0
001_seg_010.png,3,989,28.688005447387695,82.86056518554688,19.40213966369629,-5.324885845184326,2.0,0,0
001_seg_010.png,0,970,0.0,0.0,0.0,0.0,3.0,0,1
001_seg_010.png,2,125,102.18131256103516,63.78876495361328,20.588117599487305,-23.160198211669922,4.0,0,0
