imagen,cluster,pixeles,dispersion_var_LAB,centroid_L,centroid_A,centroid_B
000_seg_016.png,0,2924,20.97787094116211,85.59133911132812,16.53754425048828,-8.71547794342041
000_seg_016.png,1,3774,11.562561988830566,88.23296356201172,13.512848854064941,-3.966400384902954
000_seg_016.png,2,441,115.73554992675781,71.55691528320312,26.507862091064453,-22.78561019897461
000_seg_016.png,3,3249,0.0,0.0,0.0,0.0
001_seg_006.png,0,3086,23.701351165771484,81.71363067626953,17.87464141845703,-1.2648224830627441
001_seg_006.png,1,2461,0.0,0.0,0.0,0.0
001_seg_006.png,2,185,110.09709930419922,66.67548370361328,26.1524658203125,-23.421586990356445
001_seg_006.png,3,5003,17.275388717651367,86.1623306274414,14.327056884765625,2.5119688510894775
001_seg_009.png,0,1711,24.263967514038086,79.57271575927734,18.348407745361328,-2.8346469402313232
001_seg_009.png,1,3469,0.0,0.0,0.0,0.0
001_seg_009.png,2,234,76.90591430664062,67.27884674072266,20.10188102722168,-17.777992248535156
001_seg_009.png,3,3965,15.583296775817871,85.23405456542969,16.11503791809082,3.562755823135376
000_seg_018.png,0,362,167.42608642578125,62.033573150634766,28.022775650024414,-30.182802200317383
000_seg_018.png,1,3852,27.549362182617188,86.33877563476562,15.770112037658691,-1.703613519668579
000_seg_018.png,2,2368,49.798458099365234,82.57066345214844,18.309932708740234,-10.652000427246094
000_seg_018.png,3,1248,0.0,0.0,0.0,0.0
000_seg_009.png,0,239,151.8606719970703,66.48908996582031,24.251384735107422,-35.45676040649414
000_seg_009.png,1,1759,30.695045471191406,85.4670639038086,15.202635765075684,-12.916533470153809
000_seg_009.png,2,4696,18.212326049804688,89.64342498779297,12.442365646362305,-7.08015775680542
000_seg_009.png,3,3186,0.0,0.0,0.0,0.0
001_seg_007.png,0,2173,24.57098960876465,82.91246032714844,17.773679733276367,-3.2367420196533203
001_seg_007.png,1,1285,0.0,0.0,0.0,0.0
001_seg_007.png,2,3074,17.9765625,87.48898315429688,14.516709327697754,1.1835706233978271
001_seg_007.png,3,164,112.39812469482422,64.9284439086914,23.220203399658203,-25.94527244567871
000_seg_019.png,0,2440,33.79952621459961,88.24172973632812,16.40354347229004,-10.649556159973145
000_seg_019.png,1,172,208.2250213623047,64.220703125,29.551898956298828,-35.56386947631836
000_seg_019.png,2,4892,12.777604103088379,91.50997924804688,12.539953231811523,-4.431285858154297
000_seg_019.png,3,1663,0.0,0.0,0.0,0.0
000_seg_003.png,0,290,163.5574951171875,64.6729507446289,31.986534118652344,-39.3095703125
000_seg_003.png,1,1091,46.50168228149414,84.10660552978516,17.8839111328125,-16.854202270507812
000_seg_003.png,2,2428,0.0,0.0,0.0,0.0
000_seg_003.png,3,7491,14.031665802001953,91.57476806640625,12.12099838256836,-5.631816864013672
001_seg_003.png,0,1720,29.380390167236328,86.24024963378906,17.944631576538086,-0.3826688528060913
001_seg_003.png,1,860,0.0,0.0,0.0,0.0
001_seg_003.png,2,360,83.14558410644531,63.87062454223633,30.482332229614258,-24.88020896911621
001_seg_003.png,3,800,48.75874328613281,78.3059310913086,23.32689666748047,-8.915574073791504
000_seg_004.png,0,662,37.768341064453125,84.19459533691406,17.449913024902344,-16.390838623046875
000_seg_004.png,1,2794,0.0,0.0,0.0,0.0
000_seg_004.png,2,6823,13.27441692352295,90.93974304199219,12.746886253356934,-6.677170753479004
000_seg_004.png,3,171,80.35659790039062,69.55152130126953,30.99608612060547,-32.54017639160156
001_seg_008.png,0,348,92.95581817626953,68.94684600830078,22.83895492553711,-21.82096290588379
001_seg_008.png,1,3533,13.065217018127441,89.08789825439453,13.986710548400879,1.075036644935608
001_seg_008.png,2,3402,0.0,0.0,0.0,0.0
001_seg_008.png,3,2661,20.829317092895508,85.88795471191406,17.553592681884766,-4.036499977111816
000_seg_000.png,0,880,77.05699920654297,60.40814971923828,27.962448120117188,-33.979888916015625
